1 1 1 , 200 100 200 , 30 30 30 , 
0.9 0.9 0.85 , 200.1 100.05 200.1 , 30.2 30.1 29.7 , 
0.79847 0.798475 0.698482 , 200.2 100.1 200.2 , 30.4145 30.2149 29.4144 , 
0.695414 0.695434 0.545472 , 200.3 100.15 200.3 , 30.6435 30.3447 29.143 , 
0.590837 0.590888 0.390999 , 200.4 100.2 200.4 , 30.887 30.4892 28.8854 , 
0.484748 0.484849 0.235092 , 200.501 100.25 200.501 , 31.1448 30.6483 28.6414 , 
0.377155 0.377331 0.0777816 , 200.601 100.3 200.601 , 31.4169 30.8219 28.4106 , 
0.26807 0.26835 -0.080902 , 200.702 100.351 200.702 , 31.7032 31.0098 28.1928 , 
0.157505 0.157922 -0.240927 , 200.802 100.401 200.802 , 32.0035 31.2118 27.9876 , 
0.0454755 0.0460649 -0.40226 , 200.903 100.451 200.903 , 32.3176 31.4278 27.7948 , 
-0.0680038 -0.0672009 -0.56487 , 201.003 100.501 201.003 , 32.6456 31.6576 27.6139 , 
-0.182915 -0.181855 -0.728724 , 201.104 100.552 201.104 , 32.987 31.901 27.4447 , 
-0.299241 -0.297877 -0.893787 , 201.205 100.602 201.205 , 33.3419 32.1577 27.2868 , 
-0.416962 -0.415244 -1.06003 , 201.306 100.652 201.306 , 33.71 32.4276 27.14 , 
-0.536056 -0.533933 -1.22741 , 201.407 100.703 201.407 , 34.091 32.7104 27.0037 , 
-0.656504 -0.65392 -1.39591 , 201.508 100.753 201.508 , 34.4849 33.0058 26.8778 , 
-0.778283 -0.775181 -1.56549 , 201.609 100.804 201.609 , 34.8912 33.3137 26.7619 , 
-0.90137 -0.897692 -1.73611 , 201.71 100.854 201.711 , 35.31 33.6337 26.6557 , 
-1.02574 -1.02143 -1.90775 , 201.812 100.905 201.812 , 35.7408 33.9657 26.5589 , 
-1.15138 -1.14636 -2.08037 , 201.913 100.955 201.913 , 36.1834 34.3094 26.4711 , 
-1.27825 -1.27247 -2.25394 , 202.014 101.006 202.015 , 36.6377 34.6645 26.392 , 
-1.40633 -1.39973 -2.42844 , 202.116 101.057 202.116 , 37.1034 35.0308 26.3214 , 
-1.5356 -1.52811 -2.60383 , 202.218 101.107 202.218 , 37.5802 35.408 26.259 , 
-1.66604 -1.65759 -2.78009 , 202.319 101.158 202.32 , 38.0679 35.7959 26.2043 , 
-1.79761 -1.78814 -2.95718 , 202.421 101.209 202.421 , 38.5662 36.1942 26.1573 , 
-1.9303 -1.91973 -3.13508 , 202.523 101.259 202.523 , 39.0749 36.6027 26.1175 , 
-2.06407 -2.05235 -3.31377 , 202.625 101.31 202.625 , 39.5937 37.0211 26.0847 , 
